(METAR weather station sites operated by the U.S. Department of Defense)
KAAA – Logan County Airport – Lincoln, Illinois
KIBM – Kimball Municipal Airport (Arraj Field) – Kimball, Nebraska
KICR – Winner Regional Airport – Winner, South Dakota
KICT – Wichita Dwight D. Eisenhower National Airport – Wichita, Kansas
KIDA – Idaho Falls Regional Airport – Idaho Falls, Idaho
KIDI – Indiana County-Jimmy Stewart Airport – Indiana, Pennsylvania
KIDL – Indianola Municipal Airport – Indianola, Mississippi
KIDP – Independence Municipal Airport – Independence, Kansas
KIEN – Pine Ridge Airport – Pine Ridge, South Dakota
KIFP – Laughlin/Bullhead International Airport – Bullhead City, Arizona
KIGM – Kingman Airport – Kingman, Arizona
KIGX – Horace Williams Airport – Chapel Hill, North Carolina
KIIB – Independence Municipal Airport – Independence, Iowa
KIIY – Washington-Wilkes County Airport – Washington, Georgia
KIJD – Windham Airport – Willimantic, Connecticut
KIJX – Jacksonville Municipal Airport (not Imeson Field) – Jacksonville, Illinois
KIKV – Ankeny Regional Airport – Ankeny, Iowa
KIKW – Jack Barstow Municipal Airport – Midland, Michigan
KILE – Skylark Field – Killeen, Texas
KILG – Wilmington Airport – Wilmington, Delaware
KILM – Wilmington International Airport – Wilmington, North Carolina
KILN – Airborne Airpark – Wilmington, Ohio
KIML – Imperial Municipal Airport – Imperial, Nebraska
KIMM – Immokalee Airport – Immokalee, Florida
KIMS – Madison Municipal Airport – Madison, Indiana
KIND – Indianapolis International Airport – Indianapolis, Indiana
KINJ – Hillsboro Municipal Airport – Hillsboro, Texas
KINK – Winkler County Airport – Kermit, Texas
KINS – Creech Air Force Base – Indian Springs, Nevada
KINT – Smith Reynolds Airport – Winston-Salem, North Carolina
KINW – Winslow-Lindbergh Regional Airport – Winslow, Arizona
KIOW – Iowa City Municipal Airport – Iowa City, Iowa
KIPJ – Lincoln County Regional Airport – Lincolnton, North Carolina
KIPL – Imperial County Airport – Imperial, California
KIPT – Williamsport Regional Airport – Williamsport, Pennsylvania
KISM – Kissimmee Gateway Airport – Kissimmee, Florida
KISN – Sloulin Field International Airport – Williston, North Dakota
KISO – Kinston Regional Jetport (Stallings Field) – Kinston, North Carolina
KISP – Long Island MacArthur Airport – Islip, New York
KISW – South Wood County Airport (Alexander Field) – Wisconsin Rapids, Wisconsin
KITH – Ithaca Tompkins Regional Airport – Ithaca, New York
KITR – Kit Carson County Airport – Burlington, Colorado
KIWA – Phoenix-Mesa Gateway Airport – Mesa, Arizona
KIWI – Wiscasset Airport – Wiscasset, Maine
KIXD – New Century AirCenter – Olathe, Kansas
KIYK – Inyokern Airport – Inyokern, California
KIZA – Santa Ynez Airport – Santa Ynez, California
KIZG – Eastern Slopes Regional Airport – Fryeburg, Maine
KJAC – Jackson Hole Airport – Jackson Hole, Wyoming
KJAN – Jackson International Airport – Jackson, Mississippi
KJAX – Jacksonville International Airport – Jacksonville, Florida
KJBR – Jonesboro Municipal Airport – Jonesboro, Arkansas
KJCT – Kimble County Airport – Junction, Texas
KJDN – Jordan Airport – Jordan, Montana
KJEF – Jefferson City Memorial Airport – Jefferson City, Missouri
KJER – Jerome County Airport – Jerome, Idaho
KJFK – John F. Kennedy International Airport – New York, New York
KJFX – Walker County Airport (Bevill Field) – Jasper, Alabama
KJGG – Williamsburg-Jamestown Airport – Williamsburg, Virginia
KJHN – Stanton County Municipal Airport – Johnson, Kansas
KJHW – Chautauqua County-Jamestown Airport – Jamestown, New York
KJKA – Jack Edwards Airport – Gulf Shores, Alabama
KJMS – Jamestown Regional Airport – Jamestown, North Dakota
KJNX – Johnston County Airport – Smithfield, North Carolina
KJQF – Concord Regional Airport – Concord, North Carolina
KJRA – West 30th Street Heliport – Manhattan, New York City, New York
KJRB – Downtown Manhattan Heliport – Manhattan, New York City, New York
KJST – Johnstown-Cambria County Airport – Johnstown, Pennsylvania
KJSV – Sallisaw Municipal Airport – Sallisaw, Oklahoma
KJVW – John Bell Williams Airport – Raymond, Mississippi
KJWG – Watonga Regional Airport – Watonga, Oklahoma
KJWN – John C. Tune Airport – Nashville, Tennessee
KJYO – Leesburg Executive Airport – Leesburg, Virginia
KJYR – York Municipal Airport – York, Nebraska
KJZI – Charleston Executive Airport – Charleston, South Carolina
KJZP – Pickens County Airport – Jasper, Georgia
KKIC – Mesa Del Rey Airport – King City, California
KKLS – Southwest Washington Regional Airport (was Kelso-Longview) – Kelso, Washington
KKNB – Kanab Municipal Airport – Kanab, Utah
KLAA – Lamar Municipal Airport – Lamar, Colorado
KLAF – Purdue University Airport – West Lafayette, Indiana
KLAL – Lakeland Linder Regional Airport – Lakeland, Florida
KLAM – Los Alamos Airport – Los Alamos, New Mexico
KLAN – Capital Region International Airport – Lansing, Michigan
KLAR – Laramie Regional Airport – Laramie, Wyoming
KLAS – McCarran International Airport – Las Vegas, Nevada
KLAW – Lawton-Fort Sill Regional Airport – Lawton, Oklahoma
KLAX – Los Angeles International Airport – Los Angeles, California
KLBB – Lubbock Preston Smith International Airport – Lubbock, Texas
KLBE – Arnold Palmer Regional Airport (Westmore County Airport) – Latrobe, Pennsylvania
KLBF – North Platte Regional Airport (Lee Bird Field) – North Platte, Nebraska
KLBL – Liberal Municipal Airport – Liberal, Kansas
KLBR – Clarksville/Red River County Airport – Clarksville, Texas
KLBT – Lumberton Municipal Airport – Lumberton, North Carolina
KLCG – Wayne Municipal Airport – Wayne, Nebraska
KLCH – Lake Charles Regional Airport – Lake Charles, Louisiana
KLCI – Laconia Municipal Airport – Laconia, New Hampshire
KLCK – Rickenbacker International Airport – Columbus, Ohio
KLCQ – Lake City Gateway Airport – Lake City, Florida
KLDJ – Linden Airport – Linden, New Jersey
KLDM – Mason County Airport – Ludington, Michigan
KLEB – Lebanon Municipal Airport – West Lebanon, New Hampshire
KLEE – Leesburg International Airport – Leesburg, Florida
KLEM – Lemmon Municipal Airport – Lemmon, South Dakota
KLEW – Auburn/Lewiston Municipal Airport – Auburn, Maine
KLEX – Blue Grass Airport – Lexington, Kentucky
KLFI – Langley Air Force Base – Hampton, Virginia
KLFK – Angelina County Airport – Lufkin, Texas
KLFT – Lafayette Airport – Lafayette, Louisiana
KLGA – La Guardia International Airport – New York, New York
KLGB – Long Beach Airport – Long Beach, California
KLGD – La Grande/Union County Airport – La Grande, Oregon
KLGF – Laguna Army Airfield (Yuma Proving Ground) – Yuma, Arizona
KLGU – Logan-Cache Airport – Logan, Utah
KLHB – Hearne Municipal Airport – Hearne, Texas
KLHM – Lincoln Regional Airport (Karl Harder Field) – Lincoln, California
KLHQ – Fairfield County Airport – Lancaster, Ohio
KLHV – William T. Piper Memorial Airport – Lock Haven, Pennsylvania
KLHX – La Junta Municipal Airport – La Junta, Colorado
KLHZ – Franklin County Airport – Louisburg, North Carolina
KLIC – Limon Municipal Airport – Limon, Colorado
KLIT – Clinton National Airport/Adams Field – Little Rock, Arkansas
KLKP – Lake Placid Airport – Lake Placid, New York
KLKR – Lancaster County Airport (McWhirter Field) – Lancaster, South Carolina
KLKU – Louisa County Airport – Louisa, Virginia
KLKV – Lake County Airport – Lakeview, Oregon
KLLJ – Challis Airport – Challis, Idaho
KLLQ – Monticello Municipal Airport (Ellis Field) – Monticello, Arkansas
KLLU – Lamar Municipal Airport – Lamar, Missouri
KLMO – Vance Brand Airport – Longmont, Colorado
KLMS – Louisville Winston County Airport – Louisville, Mississippi
KLMT – Klamath Falls International Airport – Klamath Falls, Oregon
KLNA – Palm Beach County Park Airport (Lantana Airport) – West Palm Beach, Florida
KLNC – Lancaster Airport – Lancaster, Texas
KLND – Hunt Field – Lander, Wyoming
KLNK – Lincoln Airport – Lincoln, Nebraska
KLNN – Willoughby Lost Nation Municipal Airport – Willoughby, Ohio
KLNP – Lonesome Pine Airport – Wise, Virginia
KLNS – Lancaster Airport – Lancaster, Pennsylvania
KLOL – Derby Airport – Lovelock, Nevada
KLOR – Lowe Army Heliport – Fort Rucker / Ozark, Alabama
KLOT – Lewis University Airport – Romeoville, Illinois
KLOU – Bowman Field – Louisville, Kentucky
KLOZ – London-Corbin Airport – London, Kentucky
KLPC – Lompoc Airport – Lompoc, California
KLPR – Lorain County Regional Airport – Lorain, Ohio
KLQK – Pickens County Airport – Pickens, South Carolina
KLQR – Larned-Pawnee County Airport – Larned, Kansas
KLRD – Laredo International Airport – Laredo, Texas
KLRF – Little Rock Air Force Base – Jacksonville, Arkansas
KLRG – Lincoln Regional Airport – Lincoln, Maine
KLRU – Las Cruces International Airport – Las Cruces, New Mexico
KLSB – Lordsburg Municipal Airport – Lordsburg, New Mexico
KLSE – La Crosse Regional Airport – La Crosse, Wisconsin
KLSF – Lawson Army Airfield – Fort Benning, Chattahoochee County, Georgia
KLSK – Lusk Municipal Airport – Lusk, Wyoming
KLSN – Los Banos Municipal Airport – Los Banos, California
KLSV – Nellis Air Force Base – Las Vegas, Nevada
KLTS – Altus Air Force Base – Altus, Oklahoma
KLTY – Liberty County Airport – Chester, Montana
KLUF – Luke Air Force Base – Glendale, Arizona
KLUG – Ellington Airport – Lewisburg, Tennessee
KLUL – Hesler-Noble Field – Laurel, Mississippi
KLVK – Livermore Municipal Airport – Livermore, California
KLVL – Lawrenceville/Brunswick Municipal Airport – Lawrenceville, Virginia
KLVM – Mission Field – Livingston, Montana
KLVN – Airlake Airport – Lakeville, Minnesota
KLVS – Las Vegas Municipal Airport – Las Vegas, New Mexico
KLWB – Greenbrier Valley Airport – Lewisburg, West Virginia
KLWC – Lawrence Municipal Airport – Lawrence, Kansas
KLWL – Wells Municipal Airport – Wells, Nevada
KLWM – Lawrence Municipal Airport – Lawrence, Massachusetts
KLWS – Lewiston-Nez Perce County Airport – Lewiston, Idaho
KLWT – Lewistown Municipal Airport – Lewistown, Montana
KLWV – Lawrenceville-Vincennes International Airport – Lawrenceville, Illinois
KLXL – Little Falls/Morrison County Airport (Lindbergh Field) – Little Falls, Minnesota
KLXN – Jim Kelly Field – Lexington, Nebraska
KLXT – Lee's Summit Municipal Airport – Lee's Summit, Missouri
KLXV – Lake County Airport – Leadville, Colorado
KLYH – Lynchburg Regional Airport – Lynchburg, Virginia
KLYO – Lyons-Rice County Municipal Airport – Lyons, Kansas
KLZU – Gwinnett County Airport (Briscoe Field) – Lawrenceville, Georgia
KLZZ – Lampasas Airport – Lampasas, Texas
KMAC – Macon Downtown Airport – Macon, Georgia
KMAE – Madera Municipal Airport – Madera, California
KMAF – Midland International Airport – Midland, Texas
KMAI – Marianna Municipal Airport – Marianna, Florida
KMAL – Malone-Dufort Airport – Malone, New York
KMAN – Nampa Municipal Airport – Nampa, Idaho
KMAO – Marion County Airport – Marion, South Carolina
KMAW – Malden Municipal Airport – Malden, Missouri
KMBG – Mobridge Municipal Airport – Mobridge, South Dakota
KMBO – Campbell Airport – Madison, Mississippi
KMBS – MBS International Airport – Midland, Bay City, Saginaw, Michigan
KMBT – Murfreesboro Municipal Airport – Murfreesboro, Tennessee
KMCB – McComb-Pike County Airport (John E. Lewis Field) – McComb, Mississippi
KMCC – McClellan Airfield – Sacramento, California
KMCE – Merced Municipal Airport – Merced, California
KMCF – MacDill Air Force Base – Tampa, Florida
KMCI – Kansas City International Airport – Kansas City, Missouri
KMCK – McCook Municipal Airport – McCook, Nebraska
KMCN – Middle Georgia Regional Airport – Macon, Georgia
KMCO – Orlando International Airport – Orlando, Florida
KMCW – Mason City Municipal Airport – Mason City, Iowa
KMCZ – Martin County Airport – Williamston, North Carolina
KMDD – Midland Airpark – Midland, Texas
KMDQ – Madison County Executive Airport (Tom Sharp Jr. Field) – Huntsville, Alabama
KMDS – Madison Municipal Airport – Madison, South Dakota
KMDT – Harrisburg International Airport – Middletown, Pennsylvania
KMDW – Chicago Midway International Airport – Chicago, Illinois
KMDZ – Taylor County Airport – Medford, Wisconsin
KMEB – Laurinburg-Maxton Airport – Maxton, North Carolina
KMEI – Key Airport – Meridian, Mississippi
KMEJ – Meade Municipal Airport – Meade, Kansas
KMEM – Memphis International Airport – Memphis, Tennessee
KMER – Castle Airport – Atwater, California
KMEV – Minden-Tahoe Airport – Minden, Nevada
KMFE – McAllen-Miller International Airport – McAllen, Texas
KMFI – Marshfield Municipal Airport (Wisconsin) – Marshfield, Wisconsin
KMFR – Rogue Valley International-Medford Airport – Medford, Oregon
KMFV – Accomack County Airport – Melfa, Virginia
KMGE – Dobbins Air Reserve Base (NAS Atlanta) – Marietta, Georgia
KMGG – Maple Lake Municipal Airport – Maple Lake, Minnesota
KMGJ – Orange County Airport – Montgomery, New York
KMGM – Montgomery Regional Airport (Dannelly Field) – Montgomery, Alabama
KMGW – Morgantown Municipal Airport – Morgantown, West Virginia
KMGY – Dayton Wright Brothers Airport – Dayton, Ohio
KMHE – Mitchell Municipal Airport – Mitchell, South Dakota
KMHK – Manhattan Regional Airport – Manhattan, Kansas
KMHL – Marshall Memorial Municipal Airport – Marshall, Missouri
KMHN – Hooker County Airport – Mullen, Nebraska
KMHR – Mather Airport – Sacramento, California
KMHS – Dunsmuir Municipal-Mott Airport – Mount Shasta, California
KMHT – Manchester-Boston Regional Airport – Manchester, New Hampshire
KMHV – Mojave Spaceport – Mojave, California
KMIA – Miami International Airport – Miami, Florida
KMIB – Minot Air Force Base – Minot, North Dakota
KMIC – Crystal Airport – Crystal, Minnesota
KMIO – Miami Municipal Airport – Miami, Oklahoma
KMIT – Shafter Airport – Shafter, California
KMIV – Millville Municipal Airport – Millville, New Jersey
KMJX – Robert J. Miller Air Park – Toms River, New Jersey
KMKA – Miller Municipal Airport – Miller, South Dakota
KMKE – General Mitchell International Airport – Milwaukee, Wisconsin
KMKJ – Mountain Empire Airport – Marion-Wytheville, Virginia
KMKL – McKellar-Sipes Regional Airport – Jackson, Tennessee
KMKO – Davis Field – Muskogee, Oklahoma
KMKT – Mankato Regional Airport – Mankato, Minnesota
KMKY – Marco Island Airport – Naples, Florida
KMLB – Melbourne International Airport – Melbourne, Florida
KMLC – McAlester Regional Airport – McAlester, Oklahoma
KMLD – Malad City Airport – Malad City, Idaho
KMLE – Millard Airport – Omaha, Nebraska
KMLF – Milford Municipal Airport – Milford, Utah
KMLI – Quad City International Airport – Moline, Illinois
KMLS – Miles City Municipal Airport – Miles City, Montana
KMLT – Millinocket Municipal Airport – Millinocket, Maine
KMLU – Monroe Regional Airport – Monroe, Louisiana
KMMH – Mammoth Yosemite Airport – Mammoth Lakes, California
KMMI – McMinn County Airport – Athens, Tennessee
KMMK – Meriden Markham Municipal Airport – Meriden, Connecticut
KMMS – Selfs Airport – Marks, Mississippi
KMMT – McEntire Joint National Guard Base – Eastover, South Carolina
KMMU – Morristown Municipal Airport – Morristown, New Jersey
KMMV – McMinnville Municipal Airport – McMinnville, Oregon
KMNI – Santee Cooper Regional Airport – Manning, South Carolina
KMNZ – Hamilton Municipal Airport – Hamilton, Texas
KMOB – Mobile Regional Airport – Mobile, Alabama
KMOD – Modesto City-County Airport – Modesto, California
KMOR – Moore-Murrell Airport – Morristown, Tennessee
KMOT – Minot International Airport – Minot, North Dakota
KMPE – Philadelphia Municipal Airport – Philadelphia, Mississippi
KMPI – Mariposa-Yosemite Airport – Mariposa, California
KMPJ – Petit Jean Park Airport – Morrilton, Arkansas
KMPO – Pocono Mountains Municipal Airport – Mount Pocono, Pennsylvania
KMPR – McPherson Airport – McPherson, Kansas
KMPV – Edward F. Knapp State Airport – Barre-Montpelier, Vermont
KMQI – Dare County Regional Airport – Manteo, North Carolina
KMQJ – Indianapolis Regional (Mount Comfort) Airport – Indianapolis, Indiana
KMQS – Chester County G O Carlson Airport – Coatesville, Pennsylvania
KMQY – Smyrna Airport – Smyrna, Tennessee
KMRB – Eastern West Virginia Regional Airport (Shepherd Field) – Martinsburg, West Virginia
KMRF – Marfa Municipal Airport – Marfa, Texas
KMRH – Michael J. Smith Field – Beaufort, North Carolina
KMRN – Morganton-Lenior Airport – Morganton, North Carolina
KMRY – Monterey Regional Airport – Monterey, California
KMSL – Northwest Alabama Regional Airport – Muscle Shoals, Alabama
KMSN – Dane County Regional Airport – Madison, Wisconsin
KMSO – Missoula International Airport – Missoula, Montana
KMSP – Minneapolis-Saint Paul International Airport – Bloomington, Minnesota
KMSS – Massena International Airport – Massena, New York
KMSV – Sullivan County International Airport – Monticello, New York
KMSY – Louis Armstrong International Airport – New Orleans, Louisiana
KMTC – Selfridge Air National Guard Base – Mt. Clemens, Michigan
KMTH – Florida Keys Marathon Airport – Marathon, Florida
KMTJ – Montrose Regional Airport – Montrose, Colorado
KMTN – Martin State Airport – Baltimore, Maryland
KMTP – Montauk Airport – Montauk, New York
KMTV – Blue Ridge Airport – Martinsville, Virginia
KMTW – Manitowoc County Airport – Manitowoc, Wisconsin
KMUO – Mountain Home Air Force Base – Mountain Home, Idaho
KMUT – Muscatine Municipal Airport – Muscatine, Iowa
KMUU – Huntingdon County Airport – Mount Union, Pennsylvania
KMVC – Monroe County Airport – Monroeville, Alabama
KMVI – Monte Vista Municipal Airport – Monte Vista, Colorado
KMVL – Morrisville-Stowe State Airport – Morrisville, Vermont
KMVM – Machias Valley Airport – Machias, Maine
KMVY – Martha's Vineyard Airport – Vineyard Haven, Massachusetts
KMWH – Grant County International Airport – Moses Lake, Washington
KMWK – Mount Airy/Surry County Airport – Mount Airy, North Carolina
KMWL – Mineral Wells Airport – Mineral Wells, Texas
KMXA – Manila Municipal Airport – Manila, Arkansas
KMXF – Maxwell Air Force Base – Montgomery, Alabama
KMXO – Monticello Regional Airport – Monticello, Iowa
KMYF – Montgomery Field – San Diego, California
KMYL – McCall Airport – McCall, Idaho
KMYR – Myrtle Beach International Airport – Myrtle Beach, South Carolina
KMYV – Yuba County Airport – Marysville, California
KMYZ – Marysville Municipal Airport – Marysville, Kansas
KMZJ – Pinal Airpark – Pinal County, Arizona
KNAB – Naval Air Station Albany – Albany, Georgia
KNBC – Marine Corps Air Station Beaufort – Beaufort, South Carolina
KNBJ – Naval Outlying Field Barin – Foley, Alabama
KNCA – Marine Corps Air Station New River – Jacksonville, North Carolina
KNDY – Naval Surface Warfare Center Dahlgren – Dahlgren, Virginia
KNEL – Naval Air Engineering Station Lakehurst – Lakehurst, New Jersey
KNEN – Naval Outlying Field Whitehouse – Jacksonville, Florida
KNEW – Lakefront Airport – New Orleans, Louisiana
KNFD – Naval Outlying Field Summerdale – Summerdale, Alabama
KNFE – Naval Auxiliary Landing Field Fentress – Fentress, Virginia
KNFG – Marine Corps Air Station Camp Pendleton – California
KNFJ – Naval Outlying Field Choctaw – Milton, Florida
KNFL – Naval Air Station Fallon – Fallon, Nevada
KNFW – Naval Air Station Joint Reserve Base Fort Worth – Fort Worth, Texas
KNGP – NAS Corpus Christi – Corpus Christi, Texas
KNGS – NOLF Santa Rosa – Milton, Florida
KNGU – Naval Station Norfolk – Norfolk, Virginia
KNGZ – Naval Air Station Alameda – Alameda, California
KNHK – Naval Air Station Patuxent River – Patuxent River, Maryland
KNHL – Naval Outlying Field Wolf – Foley, Alabama
KNHZ – Naval Air Station Brunswick – Brunswick, Maine converted to civilian use see KBXM
KNID – Naval Air Weapons Station China Lake – Ridgecrest, California
KNIP – Naval Air Station Jacksonville – Jacksonville, Florida
KNJK – Naval Air Facility El Centro – El Centro, California
KNJM – Marine Corps Auxiliary Landing Field Bogue – Swansboro, North Carolina
KNJW – Joe Williams Nolf Airport – Meridian, Mississippi
KNKL – Naval Outlying Field Holley – Fort Walton Beach, Florida
KNKT – Marine Corps Air Station Cherry Point – Cherry Point, North Carolina
KNKX – Marine Corps Air Station Miramar – San Diego, California
KNLC – Naval Air Station Lemoore – Lemoore, California
KNMM – Naval Air Station Meridian – Meridian, Mississippi
KNOW – Coast Guard Air Station Port Angeles – Port Angeles, Washington
KNPA – Naval Air Station Pensacola – Pensacola, Florida
KNPI – Naval Outlying Field Site 8 – Pensacola, Florida
KNQA – Millington Regional Jetport – Millington, Tennessee
KNQB – Naval Outlying Field Silverhill – Robertsdale, Alabama
KNQX – Naval Air Station Key West – Boca Chica Key, Florida
KNRA – Naval Outlying Field Coupeville – Coupeville, Washington
KNRB – Naval Station Mayport – Jacksonville, Florida
KNRN – Norton Municipal Airport – Norton, Kansas
KNRQ – Naval Outlying Field Spencer – Pace, Florida
KNRS – Naval Outlying Landing Field Imperial Beach – Imperial Beach, California
KNSI – Naval Outlying Field San Nicolas Island – San Nicolas Island, California
KNTD – Naval Air Station Point Mugu – Oxnard, California
KNTK – Marine Corps Air Station Tustin – Santa Ana, California
KNTU – Naval Air Station Oceana – Virginia Beach, Virginia
KNUC – Naval Auxiliary Landing Field San Clemente Island – San Clemente, California
KNUI – Webster Nolf Airport – Saint Inigoes, Maryland
KNUN – Naval Outlying Field Saufley – Pensacola, Florida
KNUQ – Moffett Federal Airfield – Mountain View, California
KNUW – Naval Air Station Whidbey Island – Oak Harbor, Washington
KNVI – Naval Outlying Field Pace – Wallace, Florida
KNWL – Naval Outlying Field Waldron – Corpus Christi, Texas
KNXF – Mcolf Camp Pendleton – Camp Pendleton, California
KNXP – Marine Corps Air Ground Combat Center Twentynine Palms – Twentynine Palms, California
KNXX – Naval Air Station Joint Reserve Base Willow Grove – Willow Grove, Pennsylvania
KNYG – Marine Corps Air Facility Quantico – Quantico, Virginia
KNYL – Yuma International Airport / Marine Corps Air Station Yuma – Yuma, Arizona
KNZJ – Marine Corps Air Station El Toro – Santa Ana, California
KNZY – Naval Air Station North Island – San Diego, California
KOAJ – Albert J. Ellis Airport – Jacksonville, North Carolina
KOAK – Oakland International Airport – Oakland, California
KOAR – Marina Airport – Marina, California
KOBE – Okeechobee County Airport – Okeechobee, Florida
KOBI – Woodbine Municipal Airport – Woodbine, New Jersey
KOCF – Ocala International Airport – Ocala, Florida
KOCH – A.L. Mangham Jr. Regional Airport – Nacogdoches, Texas
KOCW – Washington-Warren Airport – Washington, North Carolina
KODO – Odessa-Schlemeyer Field – Odessa, Texas
KODX – Evelyn Sharp Field Airport – Ord, Nebraska
KOEL – Oakley Municipal Airport – Oakley, Kansas
KOFF – Offutt Air Force Base – Omaha, Nebraska
KOFK – Stefan Memorial Airport – Norfolk, Nebraska
KOFP – Hanover County Municipal Airport – Richmond / Ashland, Virginia
KOGA – Searle Airport – Ogallala, Nebraska
KOGB – Orangeburg Municipal Airport – Orangeburg, South Carolina
KOGD – Ogden-Hinckley Airport – Ogden, Utah
KOGS – Ogdensburg International Airport – Ogdensburg, New York
KOIC – Norwich Lt. Warren Eaton Airport – Norwich, New York
KOIN – Oberlin Municipal Airport – Oberlin, Kansas
KOJA – Thomas P. Stafford Airport – Weatherford, Oklahoma
KOJC – Johnson County Executive Airport – Olathe, Kansas
KOKB – Oceanside Municipal Airport – Oceanside, California
KOKC – Will Rogers World Airport – Oklahoma City, Oklahoma
KOKK – Kokomo Municipal Airport – Kokomo, Indiana
KOKM – Okmulgee Regional Airport – Okmulgee, Oklahoma
KOKS – Garden County Airport – Oshkosh, Nebraska
KOKV – Winchester Regional Airport – Winchester, Virginia
KOLD – Old Town Municipal Airport and Seaplane Base – Old Town, Maine
KOLE – Cattaraugus County-Olean Airport – Olean, New York
KOLF – L. M. Clayton Airport – Wolf Point, Montana
KOLM – Olympia Airport – Olympia, Washington
KOLS – Nogales International Airport – Nogales, Arizona
KOLU – Columbus Municipal Airport – Columbus, Nebraska
KOLV – Olive Branch Airport – Olive Branch, Mississippi
KOLZ – Oelwein Municipal Airport – Oelwein, Iowa
KOMA – Eppley Field – Omaha, Nebraska
KOMH – Orange County Airport – Orange, Virginia
KOMK – Omak Airport – Omak, Washington
KOMN – Ormond Beach Municipal Airport – Ormond Beach, Florida
KONA – Winona Municipal Airport (Max Conrad Field) – Winona, Minnesota
KONL – O'Neill Municipal Airport (Baker Field) – O'Neill, Nebraska
KONO – Ontario Municipal Airport – Ontario, Oregon
KONP – Newport Municipal Airport – Newport, Oregon
KONT – Ontario International Airport – Ontario, California
KONX – Currituck County Airport – Currituck, North Carolina
KOPF – Opa-locka Airport – Opa-locka, Florida
KOPL – St. Landry Parish Airport – Opelousas, Louisiana
KOQN – Brandywine Airport – West Chester, Pennsylvania
KOQU – Quonset State Airport – North Kingstown, Rhode Island
KORB – Orr Regional Airport – Orr, Minnesota
KORD – O'Hare International Airport – Chicago, Illinois
KORE – Orange Municipal Airport – Orange, Massachusetts
KORF – Norfolk International Airport – Norfolk, Virginia
KORG – Orange County Airport – Orange, Texas
KORH – Worcester Regional Airport – Worcester, Massachusetts
KORL – Orlando Executive Airport – Orlando, Florida
KORS – Orcas Island Airport – Eastsound, Washington
KOSH – Wittman Regional Airport – Oshkosh, Wisconsin
KOSU – Ohio State University Airport – Columbus, Ohio
KOSX – Kosciusko Attala County Airport – Kosciusko, Mississippi
KOTH – North Bend Municipal Airport – North Bend, Oregon
KOTM – Ottumwa Industrial Airport – Ottumwa, Iowa
KOUN – University of Oklahoma Westheimer Airport – Norman, Oklahoma
KOVE – Oroville Municipal Airport – Oroville, California
KOVS – Boscobel Airport – Boscobel, Wisconsin
KOWB – Owensboro-Daviess County Regional Airport – Owensboro, Kentucky
KOWD – Norwood Memorial Airport – Norwood, Massachusetts
KOWI – Ottawa Municipal Airport – Ottawa, Kansas
KOWK – Central Maine Airport of Norridgewock – Norridgewock, Maine
KOXB – Ocean City Municipal Airport – Ocean City, Maryland
KOXC – Waterbury-Oxford Airport – Oxford, Connecticut
KOXD – Miami University Airport – Oxford, Ohio
KOXR – Oxnard Airport – Oxnard, California
KOYM – St. Marys Municipal Airport – Saint Marys, Pennsylvania
KOZA – Ozona Municipal AIrport – Ozona, Texas
KOZR – Cairns Army Airfield – Fort Rucker / Ozark, Alabama
KOZS – Camdenton Memorial Airport – Camdenton, Missouri
KPAE – Snohomish County Airport (Paine Field) – Everett, Washington
KPAM – Tyndall AFB – Panama City, FL
KPAN – Payson Municipal Airport – Payson, Arizona
KPAO – Palo Alto Airport of Santa Clara County – Palo Alto, California
KPBF – Grider Field – Pine Bluff, Arkansas
KPBG – Plattsburgh International Airport – Plattsburgh, New York
KPBI – Palm Beach International Airport – West Palm Beach, Florida
KPBX – Pike County Airport (Hatcher Field) – Pikeville, Kentucky
KPCM – Plant City Airport – Plant City, Florida
KPCU – Picayune-Pearl River County Airport – Picayune, Mississippi
KPCZ – Waupaca Municipal Airport – Waupaca, Wisconsin
KPDC – Prairie du Chien Municipal Airport – Prairie du Chien, Wisconsin
KPDK – DeKalb-Peachtree Airport – Atlanta, Georgia
KPDT – Eastern Oregon Regional Airport – Pendleton, Oregon
KPDX – Portland International Airport – Portland, Oregon
KPEO – Penn Yan Airport – Penn Yan, New York
KPEQ – Pecos Municipal Airport – Pecos, Texas
KPFC – Pacific City State Airport – Pacific City, Oregon
KPFN – Panama City-Bay County International Airport – Panama City, FL
KPGA – Page Municipal Airport – Page, Arizona
KPGD – Charlotte County Airport – Punta Gorda, Florida
KPGR – Kirk Airport – Paragould, Arkansas
KPGV – Pitt-Greenville Airport – Greenville, North Carolina
KPHF – Newport News/Williamsburg International Airport – Newport News, Virginia
KPHG – Phillipsburg Municipal Airport – Phillipsburg, Kansas
KPHH – Swinnie Airport – Andrews, South Carolina
KPHK – Palm Beach County Glades Airport – Pahokee, Florida
KPHL – Philadelphia International Airport – Philadelphia, Pennsylvania
KPHP – Philip Airport – Philip, South Dakota
KPHT – Henry County Airport – Paris, Tennessee
KPHX – Phoenix Sky Harbor International Airport – Phoenix, Arizona
KPIA – Greater Peoria Regional Airport – Peoria, Illinois
KPIB – Hattiesburg-Laurel Regional Airport – Hattiesburg, Mississippi
KPIE – St. Petersburg-Clearwater International Airport – St. Petersburg, Florida
KPIH – Pocatello Regional Airport – Pocatello, Idaho
KPIR – Pierre Regional Airport – Pierre, South Dakota
KPIT – Pittsburgh International Airport – Pittsburgh, Pennsylvania
